Date,Open,High,Low,Close,Adj Close,Volume
1990-08-28,69.0,69.0,69.0,69.0,32.0279655456543,0
1990-08-29,72.0,72.0,72.0,72.0,33.42048645019531,0
1990-08-30,72.0,72.0,72.0,72.0,33.42048645019531,0
1990-08-31,72.0,72.0,72.0,72.0,33.42048645019531,0
1990-09-03,70.0,70.0,70.0,70.0,32.49214553833008,0
1990-09-04,67.0,67.0,67.0,67.0,31.099624633789062,0
1990-09-05,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-09-06,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-09-07,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-09-10,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-09-11,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-09-12,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-09-13,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-09-14,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-09-17,62.0,62.0,62.0,62.0,28.778757095336914,0
1990-09-18,62.0,62.0,62.0,62.0,28.778757095336914,0
1990-09-19,62.0,62.0,62.0,62.0,28.778757095336914,0
1990-09-20,62.0,62.0,62.0,62.0,28.778757095336914,0
1990-09-21,62.0,62.0,62.0,62.0,28.778757095336914,0
1990-09-24,62.0,62.0,62.0,62.0,28.778757095336914,0
1990-09-25,62.5,62.5,62.5,62.5,29.01083755493164,0
1990-09-26,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-09-27,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-09-28,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-10-01,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-10-02,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-10-03,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-10-04,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-10-05,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-10-08,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-10-09,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-10-10,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-10-11,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-10-12,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-10-15,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-10-16,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-10-17,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-10-18,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-10-19,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-10-22,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-10-23,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-10-24,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-10-25,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-10-26,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-10-29,67.0,67.0,67.0,67.0,31.099624633789062,0
1990-10-30,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-10-31,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-11-01,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-11-02,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-11-05,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-11-06,63.0,63.0,63.0,63.0,29.242923736572266,0
1990-11-07,64.0,64.0,64.0,64.0,29.707096099853516,0
1990-11-08,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-11-09,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-11-12,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-11-13,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-11-14,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-11-15,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-11-16,65.0,65.0,65.0,65.0,30.17128562927246,0
1990-11-19,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-11-20,66.0,66.0,66.0,66.0,30.63545036315918,0
1990-11-21,67.0,67.0,67.0,67.0,31.099624633789062,0
1990-11-22,67.0,67.0,67.0,67.0,31.099624633789062,0
1990-11-23,69.0,69.0,69.0,69.0,32.0279655456543,0
1990-11-26,69.0,69.0,69.0,69.0,32.0279655456543,0
1990-11-27,68.0,68.0,68.0,68.0,31.563796997070312,0
1990-11-28,68.0,68.0,68.0,68.0,31.563796997070312,0
1990-11-29,68.0,68.0,68.0,68.0,31.563796997070312,0
